OTU_ID	inoculum1.control.before	inoculum1.control.after	inoculum1.treatment.before	inoculum1.treatment.after	inoculum2.control.before	inoculum2.control.after	inoculum2.treatment.before	inoculum2.treatment.after
otu660	3	0	0	0	0	0	0	0
otu661	0	2	1	3	1	0	0	3
otu662	0	0	0	0	6	4	1	0
otu663	0	0	0	0	0	1	1	0
otu664	0	0	0	0	0	2	0	0
otu665	0	0	0	0	0	0	2	2
otu666	0	0	0	0	2	0	2	0
otu667	1	1	0	0	0	0	0	0
otu668	0	0	0	0	3	2	0	0
otu669	0	0	0	0	1	1	5	0
otu670	0	0	0	1	0	1	3	0
otu671	0	0	0	0	1	14	2	2
otu672	1	1	0	2	0	0	0	0
otu673	0	0	0	0	37	0	0	0
otu674	0	0	0	0	1	1	1	3
